,favorite_count,tweet_id,retweet_count,date,weekday
477,48159,819006400881917954,20710,2017-01-11 02:21:57,Wed
478,11420,817777686764523521,2930,2017-01-07 16:59:28,Sat
479,14066,822859134160621569,2493,2017-01-21 17:31:20,Sat
480,8930,813800681631023104,1929,2016-12-27 17:36:16,Tue
481,0,815745968457060357,4546,2017-01-02 02:26:09,Mon
482,12691,813127251579564032,3440,2016-12-25 21:00:18,Sun
483,13007,820690176645140481,3531,2017-01-15 17:52:40,Sun
484,15713,822610361945911296,3239,2017-01-21 01:02:48,Sat
485,15993,824297048279236611,4216,2017-01-25 16:45:05,Wed
486,0,820446719150292993,2828,2017-01-15 01:45:15,Sun
487,38898,813812741911748608,15386,2016-12-27 18:24:12,Tue
488,12515,824325613288833024,11315,2017-01-25 18:38:36,Wed
489,0,822647212903690241,7004,2017-01-21 03:29:14,Sat
490,8878,805932879469572096,2108,2016-12-06 00:32:26,Tue
491,8315,803380650405482500,2047,2016-11-28 23:30:47,Mon
492,127399,807106840509214720,61175,2016-12-09 06:17:20,Fri
493,8698,799063482566066176,2723,2016-11-17 01:35:54,Thu
494,8683,801115127852503040,2306,2016-11-22 17:28:25,Tue
495,7102,812709060537683968,1572,2016-12-24 17:18:34,Sat
496,13699,811627233043480576,3442,2016-12-21 17:39:46,Wed
497,11278,800751577355128832,3060,2016-11-21 17:23:47,Mon
498,9410,805487436403003392,2794,2016-12-04 19:02:24,Sun
499,6597,804475857670639616,2215,2016-12-02 00:02:45,Fri
500,7085,802265048156610565,1503,2016-11-25 21:37:47,Fri
501,8088,811744202451197953,1773,2016-12-22 01:24:33,Thu
502,14180,809084759137812480,3858,2016-12-14 17:16:53,Wed
503,11268,813096984823349248,3966,2016-12-25 19:00:02,Sun
504,10567,813081950185472002,3045,2016-12-25 18:00:17,Sun
505,0,799774291445383169,5167,2016-11-19 00:40:24,Sat
506,8376,805207613751304193,1879,2016-12-04 00:30:29,Sun
507,6150,805520635690676224,1818,2016-12-04 21:14:20,Sun
508,0,798701998996647937,8604,2016-11-16 01:39:30,Wed
509,0,802185808107208704,293,2016-11-25 16:22:55,Fri
510,0,807059379405148160,8079,2016-12-09 03:08:45,Fri
511,10962,806542213899489280,2609,2016-12-07 16:53:43,Wed
512,7426,809448704142938112,1616,2016-12-15 17:23:04,Thu
513,0,800855607700029440,1797,2016-11-22 00:17:10,Tue
514,10835,808838249661788160,3348,2016-12-14 00:57:20,Wed
515,0,805958939288408065,5924,2016-12-06 02:15:59,Tue
516,0,804413760345620481,3550,2016-12-01 19:56:00,Thu
517,13989,807010152071229440,4214,2016-12-08 23:53:08,Thu
518,7782,811985624773361665,1546,2016-12-22 17:23:53,Thu
519,0,809808892968534016,5399,2016-12-16 17:14:20,Fri
520,14149,798933969379225600,4944,2016-11-16 17:01:16,Wed
521,80622,806629075125202948,38382,2016-12-07 22:38:52,Wed
522,14116,800513324630806528,3316,2016-11-21 01:37:04,Mon
523,9697,802952499103731712,2215,2016-11-27 19:09:28,Sun
524,26331,801167903437357056,6556,2016-11-22 20:58:07,Tue
525,15633,807621403335917568,4055,2016-12-10 16:22:02,Sat
526,10782,803773340896923648,3052,2016-11-30 01:31:12,Wed
527,17457,802323869084381190,6435,2016-11-26 01:31:31,Sat
528,14682,812372279581671427,4029,2016-12-23 19:00:19,Fri
529,0,806620845233815552,6083,2016-12-07 22:06:10,Wed
530,47905,804026241225523202,17871,2016-11-30 18:16:08,Wed
531,9698,810896069567610880,1968,2016-12-19 17:14:23,Mon
532,8561,812466873996607488,2118,2016-12-24 01:16:12,Sat
533,8113,812781120811126785,2100,2016-12-24 22:04:54,Sat
534,0,812747805718642688,7621,2016-12-24 19:52:31,Sat
535,0,806242860592926720,12874,2016-12-06 21:04:11,Tue
536,9033,799757965289017345,2389,2016-11-18 23:35:32,Fri
537,13487,808001312164028416,3894,2016-12-11 17:31:39,Sun
538,0,798705661114773508,7284,2016-11-16 01:54:03,Wed
539,0,805823200554876929,8861,2016-12-05 17:16:37,Mon
540,1886,801854953262350336,258,2016-11-24 18:28:13,Thu
541,45576,808344865868283904,22850,2016-12-12 16:16:49,Mon
542,742,800859414831898624,107,2016-11-22 00:32:18,Tue
543,10165,800459316964663297,2387,2016-11-20 22:02:27,Sun
544,6508,801285448605831168,919,2016-11-23 04:45:12,Wed
545,0,802624713319034886,3227,2016-11-26 21:26:58,Sat
546,11977,800388270626521089,3096,2016-11-20 17:20:08,Sun
547,0,798682547630837760,5209,2016-11-16 00:22:12,Wed
548,7994,798925684722855936,1586,2016-11-16 16:28:21,Wed
549,0,808134635716833280,6556,2016-12-12 02:21:26,Mon
550,5977,811647686436880384,817,2016-12-21 19:01:02,Wed
551,0,800188575492947969,4346,2016-11-20 04:06:37,Sun
552,22393,811386762094317568,7034,2016-12-21 01:44:13,Wed
553,10764,803276597545603072,2723,2016-11-28 16:37:19,Mon
554,0,798694562394996736,5472,2016-11-16 01:09:57,Wed
555,5716,810984652412424192,1578,2016-12-19 23:06:23,Mon
556,6509,812503143955202048,1348,2016-12-24 03:40:19,Sat
557,14738,804738756058218496,4242,2016-12-02 17:27:25,Fri
558,16610,809920764300447744,4299,2016-12-17 00:38:52,Sat
559,0,801127390143516673,4385,2016-11-22 18:17:08,Tue
560,9348,808106460588765185,2417,2016-12-12 00:29:28,Mon
561,9749,802239329049477120,2871,2016-11-25 19:55:35,Fri
562,8815,801538201127157760,2269,2016-11-23 21:29:33,Wed
563,0,803692223237865472,8187,2016-11-29 20:08:52,Tue
564,0,800443802682937345,4760,2016-11-20 21:00:48,Sun
565,22454,813051746834595840,8062,2016-12-25 16:00:16,Sun
566,9599,802572683846291456,2755,2016-11-26 18:00:13,Sat
567,0,798686750113755136,2568,2016-11-16 00:38:54,Wed
568,16439,800141422401830912,2828,2016-11-20 00:59:15,Sun
569,7645,802600418706604034,1625,2016-11-26 19:50:26,Sat
570,6891,806219024703037440,1317,2016-12-06 19:29:28,Tue
571,8485,808733504066486276,2390,2016-12-13 18:01:07,Tue
572,37993,810284430598270976,12554,2016-12-18 00:43:57,Sun
573,15744,810254108431155201,3693,2016-12-17 22:43:27,Sat
574,21375,809220051211603969,6187,2016-12-15 02:14:29,Thu
575,8286,801958328846974976,1884,2016-11-25 01:18:59,Fri
576,8522,813066809284972545,2142,2016-12-25 17:00:08,Sun
577,0,798697898615730177,7184,2016-11-16 01:23:12,Wed
578,7070,805826884734976000,2016,2016-12-05 17:31:15,Mon
